Code,Name,City,Country,Timezone
JFK,John F. Kennedy International Airport,New York,USA,-5
LAX,Los Angeles International Airport,Los Angeles,USA,-8
ORD,Chicago O'Hare International Airport,Chicago,USA,-6
DFW,Dallas/Fort Worth International Airport,Dallas,USA,-6
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,USA,-5
SEA,Seattle-Tacoma International Airport,Seattle,USA,-7
SFO,San Francisco International Airport,San Francisco,USA,-8
MIA,Miami International Airport,Miami,USA,-5
DEN,Denver International Airport,Denver,USA,-6
PHX,Phoenix Sky Harbor International Airport,Phoenix,USA,-7
